Link;Titulo;Data da Postagem
https://www.palmeiras.com.br/noticias/palmeiras-vence-bragantino-fora-de-casa-e-completa-nove-jogos-sem-derrota/;Palmeiras vence Bragantino fora de casa e completa nove jogos sem derrota;31/01/2024 21:48
https://www.palmeiras.com.br/noticias/palmeiras-organiza-fan-fest-para-torcida-acompanhar-decisao-da-supercopa-do-brasil/;Palmeiras organiza Fan Fest para torcida acompanhar decisão da Supercopa do Brasil;30/01/2024 18:16
https://www.palmeiras.com.br/noticias/red-bull-bragantino-x-palmeiras-informacoes-estatisticas-e-curiosidades-6/;Red Bull Bragantino x Palmeiras: informações, estatísticas e curiosidades;30/01/2024 16:50
https://www.palmeiras.com.br/noticias/elenco-faz-atividades-taticas-na-vespera-do-confronto-com-o-bragantino/;Elenco faz atividades táticas na véspera do confronto com o Bragantino;30/01/2024 12:31
https://www.palmeiras.com.br/noticias/sub-17-do-verdao-e-superado-por-internacional-na-semi-da-serie-ouro-da-fam-cup/;Sub-17 do Verdão é superado por Internacional na semi da Série Ouro da FAM Cup;29/01/2024 13:42
https://www.palmeiras.com.br/noticias/rios-elogia-atuacao-coletiva-em-vitoria-no-classico-e-alerta-para-dificuldade-em-braganca/;Ríos elogia atuação coletiva em vitória no clássico e alerta para dificuldade em Bragança;29/01/2024 12:38
https://www.palmeiras.com.br/noticias/comunicado-falta-de-manutencao-do-gramado-do-allianz-parque/;Comunicado: Falta de manutenção do gramado do Allianz Parque;28/01/2024 20:54
https://www.palmeiras.com.br/noticias/palmeiras-supera-santos-no-allianz-parque-e-alcanca-oito-jogos-de-invencibilidade/;Palmeiras supera Santos no Allianz Parque e alcança oito jogos de invencibilidade;28/01/2024 20:39
https://www.palmeiras.com.br/noticias/verdao-e-superado-por-sao-paulo-e-fica-com-o-vice-da-copa-votorantim/;Verdão é superado por São Paulo e fica com o vice da Copa Votorantim;28/01/2024 13:38
https://www.palmeiras.com.br/noticias/sub-10-e-sub-12-do-palestra-conquistam-a-sanca-cup-pelo-segundo-ano-seguido/;Sub-10 e Sub-12 do Palestra conquistam a Sanca Cup pelo segundo ano seguido;28/01/2024 13:23
https://www.palmeiras.com.br/noticias/palmeiras-x-santos-informacoes-estatisticas-e-curiosidades-7/;Palmeiras x Santos: informações, estatísticas e curiosidades;27/01/2024 19:10
https://www.palmeiras.com.br/noticias/palmeiras-faz-atividades-taticas-e-segue-preparacao-para-o-primeiro-classico-do-ano/;Palmeiras faz atividades táticas e segue preparação para o primeiro clássico do ano;27/01/2024 13:33
https://www.palmeiras.com.br/noticias/verdao-sub-17-vence-santos-nos-penaltis-e-avanca-a-semifinal-da-fam-cup/;Verdão Sub-17 vence Santos nos pênaltis e avança à semifinal da FAM Cup;27/01/2024 13:26
https://www.palmeiras.com.br/noticias/veiga-valoriza-inicio-de-temporada-vislumbra-recordes-e-projeta-duelo-com-santos/;Veiga valoriza início de temporada, vislumbra recordes e projeta duelo com Santos;26/01/2024 15:21
https://www.palmeiras.com.br/noticias/participante-da-fam-cup-delegacao-do-jacuipense-ba-assiste-a-vitoria-do-verdao-no-allianz/;Participante da FAM Cup, delegação do Jacuipense-BA assiste à vitória do Verdão no Allianz;25/01/2024 14:48
https://www.palmeiras.com.br/noticias/palmeiras-vence-inter-de-limeira-e-alcanca-29-jogos-sem-derrota-em-duelos-da-fase-de-grupos-do-paulista/;Palmeiras vence Inter de Limeira e alcança 29 jogos sem derrota em duelos da fase de grupos do Paulista;25/01/2024 01:35
